category,revenue,cost,profit,units_sold,date
Electronics,45000,28000,17000,320,2024-01-15
Clothing,23000,14000,9000,510,2024-01-15
Furniture,31000,19500,11500,85,2024-01-15
Sports,18500,11000,7500,240,2024-01-15
Books,9200,4800,4400,620,2024-01-15
Electronics,52000,31000,21000,380,2024-02-15
Clothing,27500,16200,11300,590,2024-02-15
Furniture,28000,17000,11000,72,2024-02-15
Sports,21000,12500,8500,275,2024-02-15
Books,10800,5600,5200,710,2024-02-15
Electronics,61000,36000,25000,440,2024-03-15
Clothing,31200,18400,12800,650,2024-03-15
Furniture,35500,21000,14500,98,2024-03-15
Sports,24500,14500,10000,310,2024-03-15
Books,12100,6200,5900,780,2024-03-15
Electronics,48000,29000,19000,350,2024-04-15
Clothing,25800,15300,10500,540,2024-04-15
Furniture,32000,20000,12000,88,2024-04-15
Sports,19800,11800,8000,255,2024-04-15
Books,11000,5700,5300,700,2024-04-15
